0:0:0:0:0:0:0:1 - - [31/May/2023:10:24:14 +0900] "POST /simpleBC/UpdateDeleteServlet HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [31/May/2023:10:24:15 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13155
0:0:0:0:0:0:0:1 - - [31/May/2023:10:24:26 +0900] "GET /simpleBC/QuizServlet HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [31/May/2023:10:24:29 +0900] "POST /simpleBC/QuizServlet HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [31/May/2023:10:24:48 +0900] "POST /simpleBC/DiscriminationServlet HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:20 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:20 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:26 +0900] "POST /simpleBC/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:26 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13155
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:33 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:34 +0900] "GET /simpleBC/RegistServlet HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:35 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:37 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13155
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:38 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:41 +0900] "GET /simpleBC/RegistServlet HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:47 +0900] "GET /simpleBC/QuizServlet HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:49 +0900] "POST /simpleBC/QuizServlet HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:53 +0900] "GET /simpleBC/QuizServlet HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:54 +0900] "POST /simpleBC/QuizServlet HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [31/May/2023:15:05:59 +0900] "POST /simpleBC/DiscriminationServlet HTTP/1.1" 200 1294
